en_source,vn_translate,loi_du_doan
Dim Forest Ecological Survey 5,Dim Forest Ecological Survey 5,C?n ti?ng Anh nghi v?n: Dim; Ecological; Forest; Survey | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Battlefield Record 6010: 91.7 Highland Contest,Battlefield Record 6010: 91.7 Highland Contest,C?n ti?ng Anh nghi v?n: Battlefield; Contest; Highland; Record | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Abandoned Data Chip from Norfall Barrens,Data Chip bị bỏ lại từ Norfall Barrens,C?n ti?ng Anh nghi v?n: Barrens; Chip; Data; Norfall | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Abandoned Data Chip from Tiger's Maw,Data Chip bị bỏ lại từ Tiger's Maw,C?n ti?ng Anh nghi v?n: Chip; Data; Maw; Tiger's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dim Forest Survey Team Diary,Dim Forest Survey Đội Diary,C?n ti?ng Anh nghi v?n: Diary; Dim; Forest; Survey | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blazing Feather Spicy Meat,Blazing Feather Spicy Meat,C?n ti?ng Anh nghi v?n: Blazing; Feather; Meat; Spicy | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Spicy Pulled Chicken Recipe,Spicy Pulled Chicken Recipe,C?n ti?ng Anh nghi v?n: Chicken; Pulled; Recipe; Spicy | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Loong Whiskers Crisp Recipe,Loong Whiskers Crisp Recipe,C?n ti?ng Anh nghi v?n: Crisp; Loong; Recipe; Whiskers | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Salted Milk Tea Recipe,Salted Milk Tea Recipe,C?n ti?ng Anh nghi v?n: Milk; Recipe; Salted; Tea | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Shuyun Herbal Tea Recipe,Shuyun Herbal Tea Recipe,C?n ti?ng Anh nghi v?n: Herbal; Recipe; Shuyun; Tea | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Spicy Meat Slices Recipe,Spicy Meat Slices Recipe,C?n ti?ng Anh nghi v?n: Meat; Recipe; Slices; Spicy | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aureate Fried Rice Recipe,Aureate Fried Rice Recipe,C?n ti?ng Anh nghi v?n: Aureate; Fried; Recipe; Rice | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lemon-Braised Pork Recipe,Lemon-Braised Pork Recipe,C?n ti?ng Anh nghi v?n: Braised; Lemon; Pork; Recipe | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Milky Fish Soup Recipe,Milky Fish Soup Recipe,C?n ti?ng Anh nghi v?n: Fish; Milky; Recipe; Soup | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Caltrop Stir Fry Recipe,Caltrop Stir Fry Recipe,C?n ti?ng Anh nghi v?n: Caltrop; Fry; Recipe; Stir | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Chili Sauce Tofu Recipe,Chili Sauce Tofu Recipe,C?n ti?ng Anh nghi v?n: Chili; Recipe; Sauce; Tofu | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Riccioli Salt Baked Fish Recipe,Riccioli Muối Baked Fish Recipe,C?n ti?ng Anh nghi v?n: Baked; Fish; Recipe; Riccioli | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Glory Roast Platter Recipe,Glory Roast Platter Recipe,C?n ti?ng Anh nghi v?n: Glory; Platter; Recipe; Roast | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Frosted Cream Blizzard Recipe,Frosted Cream Blizzard Recipe,C?n ti?ng Anh nghi v?n: Blizzard; Cream; Frosted; Recipe | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Bamboo Iris Crisps Recipe,Bamboo Iris Crisps Recipe,C?n ti?ng Anh nghi v?n: Bamboo; Crisps; Iris; Recipe | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pine Needle Soda Recipe,Pine Needle Soda Recipe,C?n ti?ng Anh nghi v?n: Needle; Pine; Recipe; Soda | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Smoked Meat Stew Recipe,Smoked Meat Stew Recipe,C?n ti?ng Anh nghi v?n: Meat; Recipe; Smoked; Stew | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Grilled Fern Spore Recipe,Grilled Fern Spore Recipe,C?n ti?ng Anh nghi v?n: Fern; Grilled; Recipe; Spore | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Husk of Broken Dreams,Husk of Broken Dreams,C?n ti?ng Anh nghi v?n: Broken; Dreams; Husk; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Red Heart Emblem I,Red Heart Emblem I,C?n ti?ng Anh nghi v?n: Emblem; Heart; I; Red | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Critical Warp Drive I,Critical Warp Drive I,C?n ti?ng Anh nghi v?n: Critical; Drive; I; Warp | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
8-Bit Game Cartridge I,8-Bit Game Cartridge I,C?n ti?ng Anh nghi v?n: Bit; Cartridge; Game; I | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Absolute Abby Whirlwind I,Absolute Abby Whirlwind I,C?n ti?ng Anh nghi v?n: Abby; Absolute; I; Whirlwind | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Blazing Star's Soliloquy,A Blazing Star's Soliloquy,C?n ti?ng Anh nghi v?n: A; Blazing; Soliloquy; Star's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Persona 5 Royal: Collab Album,Persona 5 Royal: Collab Album,C?n ti?ng Anh nghi v?n: Album; Collab; Persona; Royal | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Persona 3 Reload: Collab Album,Persona 3 Reload: Collab Album,C?n ti?ng Anh nghi v?n: Album; Collab; Persona; Reload | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Falling Stars, Wandering Thoughts","Falling Stars, Wandering Thoughts",C?n ti?ng Anh nghi v?n: Falling; Stars; Thoughts; Wandering | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Persona 5 Royal: Collab Track,Persona 5 Royal: Collab Track,C?n ti?ng Anh nghi v?n: Collab; Persona; Royal; Track | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Persona 5 Royal: Collab Track,Persona 5 Royal: Collab Track,C?n ti?ng Anh nghi v?n: Collab; Persona; Royal; Track | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Persona 3 Reload: Collab Track,Persona 3 Reload: Collab Track,C?n ti?ng Anh nghi v?n: Collab; Persona; Reload; Track | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Persona 3 Reload: Collab Track,Persona 3 Reload: Collab Track,C?n ti?ng Anh nghi v?n: Collab; Persona; Reload; Track | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Neo-Tide | Remix Album,Neo-Tide | Remix Album,C?n ti?ng Anh nghi v?n: Album; Neo; Remix; Tide | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Synthesis Recipe: Potion Making,Synthesis Recipe: Potion Making,C?n ti?ng Anh nghi v?n: Making; Potion; Recipe; Synthesis | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Revival Inhaler Recipe,Medium Revival Inhaler Recipe,C?n ti?ng Anh nghi v?n: Inhaler; Medium; Recipe; Revival | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Revival Inhaler Recipe,Advanced Revival Inhaler Recipe,C?n ti?ng Anh nghi v?n: Advanced; Inhaler; Recipe; Revival | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Revival Inhaler Recipe,Premium Revival Inhaler Recipe,C?n ti?ng Anh nghi v?n: Inhaler; Premium; Recipe; Revival | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Nutrient Block Formula,Medium Nutrient Block Formula,C?n ti?ng Anh nghi v?n: Block; Formula; Medium; Nutrient | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Nutrient Block Formula,Advanced Nutrient Block Formula,C?n ti?ng Anh nghi v?n: Advanced; Block; Formula; Nutrient | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Nutrient Block Formula,Premium Nutrient Block Formula,C?n ti?ng Anh nghi v?n: Block; Formula; Nutrient; Premium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Gold Incense Oil,Premium Gold Incense Oil,C?n ti?ng Anh nghi v?n: Gold; Incense; Oil; Premium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lifted Clouds of Eons,Lifted Clouds of Eons,C?n ti?ng Anh nghi v?n: Clouds; Eons; Lifted; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Spring in Full Swing,Spring in Full Swing,C?n ti?ng Anh nghi v?n: Full; in; Spring; Swing | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Behind Gateway Thirty Three,Behind Gateway Thirty Three,C?n ti?ng Anh nghi v?n: Behind; Gateway; Thirty; Three | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Inside Pipe Sixty Six,Inside Pipe Sixty Six,C?n ti?ng Anh nghi v?n: Inside; Pipe; Six; Sixty | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Drowning Five Times Over,Drowning Five Times Over,C?n ti?ng Anh nghi v?n: Drowning; Five; Over; Times | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Beyond Ruin Nighty Nine,Beyond Ruin Nighty Nine,C?n ti?ng Anh nghi v?n: Beyond; Nighty; Nine; Ruin | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mahe Special Ingredient Pack,Mahe Special Ingredient Pack,C?n ti?ng Anh nghi v?n: Ingredient; Mahe; Pack; Special | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Familiar-looking Large Fish,Familiar-looking Large Fish,C?n ti?ng Anh nghi v?n: Familiar; Fish; Large; looking | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Helm Village Lighthouse Key,Helm Village Lighthouse Key,C?n ti?ng Anh nghi v?n: Helm; Key; Lighthouse; Village | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
<i>Former Privy Councilor's Notes</i>,<i>Former Privy Councilor's Notes</i>,C?n ti?ng Anh nghi v?n: Councilor's; Former; Notes; Privy | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Champion's Radiant Collection I,Champion's Radiant Collection I,C?n ti?ng Anh nghi v?n: Champion's; Collection; I; Radiant | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Champion's Radiant Collection II,Champion's Radiant Collection II,C?n ti?ng Anh nghi v?n: Champion's; Collection; II; Radiant | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Vault's Radiant Collection III,Vault's Radiant Collection III,C?n ti?ng Anh nghi v?n: Collection; III; Radiant; Vault's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer's Special Bounty I,Pioneer's Special Bounty I,C?n ti?ng Anh nghi v?n: Bounty; I; Pioneer's; Special | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer's Special Bounty II,Pioneer's Special Bounty II,C?n ti?ng Anh nghi v?n: Bounty; II; Pioneer's; Special | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer's Special Bounty III,Pioneer's Special Bounty III,C?n ti?ng Anh nghi v?n: Bounty; III; Pioneer's; Special | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer's Special Bounty IV,Pioneer's Special Bounty IV,C?n ti?ng Anh nghi v?n: Bounty; IV; Pioneer's; Special | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer's Special Bounty V,Pioneer's Special Bounty V,C?n ti?ng Anh nghi v?n: Bounty; Pioneer's; Special; V | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer's Special Bounty VII,Pioneer's Special Bounty VII,C?n ti?ng Anh nghi v?n: Bounty; Pioneer's; Special; VII | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mourning Aix - Early Access,Mourning Aix - Early Access,C?n ti?ng Anh nghi v?n: Access; Aix; Early; Mourning | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lampylumen Myriad - Early Access,Lampylumen Myriad - Early Access,C?n ti?ng Anh nghi v?n: Access; Early; Lampylumen; Myriad | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sentry Construct - Early Access,Sentry Construct - Early Access,C?n ti?ng Anh nghi v?n: Access; Construct; Early; Sentry | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Half A Lucky Coin,Half A Lucky Coin,C?n ti?ng Anh nghi v?n: A; Coin; Half; Lucky | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Inferno Rider - Early Access,Inferno Rider - Early Access,C?n ti?ng Anh nghi v?n: Access; Early; Inferno; Rider | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""Dawn upon Thorns"" Set","""Dawn upon Thorns"" Set",C?n ti?ng Anh nghi v?n: Dawn; Set; Thorns; upon | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Red Heart Emblem II,Red Heart Emblem II,C?n ti?ng Anh nghi v?n: Emblem; Heart; II; Red | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Critical Warp Drive II,Critical Warp Drive II,C?n ti?ng Anh nghi v?n: Critical; Drive; II; Warp | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
8-Bit Game Cartridge II,8-Bit Game Cartridge II,C?n ti?ng Anh nghi v?n: Bit; Cartridge; Game; II | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Absolute Abby Whirlwind II,Absolute Abby Whirlwind II,C?n ti?ng Anh nghi v?n: Abby; Absolute; II; Whirlwind | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Red Heart Emblem III,Red Heart Emblem III,C?n ti?ng Anh nghi v?n: Emblem; Heart; III; Red | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Critical Warp Drive III,Critical Warp Drive III,C?n ti?ng Anh nghi v?n: Critical; Drive; III; Warp | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
8-Bit Game Cartridge III,8-Bit Game Cartridge III,C?n ti?ng Anh nghi v?n: Bit; Cartridge; Game; III | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Absolute Abby Whirlwind III,Absolute Abby Whirlwind III,C?n ti?ng Anh nghi v?n: Abby; Absolute; III; Whirlwind | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Red Heart Emblem IV,Red Heart Emblem IV,C?n ti?ng Anh nghi v?n: Emblem; Heart; IV; Red | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Critical Warp Drive IV,Critical Warp Drive IV,C?n ti?ng Anh nghi v?n: Critical; Drive; IV; Warp | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
8-Bit Game Cartridge IV,8-Bit Game Cartridge IV,C?n ti?ng Anh nghi v?n: Bit; Cartridge; Game; IV | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ultra Frequency Conversion Solvent Ⅳ,Ultra Frequency Conversion Solvent Ⅳ,C?n ti?ng Anh nghi v?n: Conversion; Frequency; Solvent; Ultra | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
8-Bit Game Cartridge V,8-Bit Game Cartridge V,C?n ti?ng Anh nghi v?n: Bit; Cartridge; Game; V | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ultra Frequency Conversion Solvent Ⅴ,Ultra Frequency Conversion Solvent Ⅴ,C?n ti?ng Anh nghi v?n: Conversion; Frequency; Solvent; Ultra | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ultra Frequency Conversion Solvent Ⅵ,Ultra Frequency Conversion Solvent Ⅵ,C?n ti?ng Anh nghi v?n: Conversion; Frequency; Solvent; Ultra | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Absolute Abby Whirlwind VII,Absolute Abby Whirlwind VII,C?n ti?ng Anh nghi v?n: Abby; Absolute; VII; Whirlwind | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Blazing Star's Soliloquy,A Blazing Star's Soliloquy,C?n ti?ng Anh nghi v?n: A; Blazing; Soliloquy; Star's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pure Dark Tide Frequency,Pure Dark Tide Frequency,C?n ti?ng Anh nghi v?n: Dark; Frequency; Pure; Tide | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Fresh Cut Fruit I,Fresh Cut Fruit I,C?n ti?ng Anh nghi v?n: Cut; Fresh; Fruit; I | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Fresh Cut Fruit II,Fresh Cut Fruit II,C?n ti?ng Anh nghi v?n: Cut; Fresh; Fruit; II | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lollo Logistics Delivery Box,Lollo Logistics Delivery Box,C?n ti?ng Anh nghi v?n: Box; Delivery; Logistics; Lollo | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Circle I,Phoebe Sticker - Circle I,C?n ti?ng Anh nghi v?n: Circle; I; Phoebe; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Circle II,Phoebe Sticker - Circle II,C?n ti?ng Anh nghi v?n: Circle; II; Phoebe; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Circle III,Phoebe Sticker - Circle III,C?n ti?ng Anh nghi v?n: Circle; III; Phoebe; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Rhombus I,Phoebe Sticker - Rhombus I,C?n ti?ng Anh nghi v?n: I; Phoebe; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Rhombus II,Phoebe Sticker - Rhombus II,C?n ti?ng Anh nghi v?n: II; Phoebe; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Rhombus III,Phoebe Sticker - Rhombus III,C?n ti?ng Anh nghi v?n: III; Phoebe; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Hexagon I,Phoebe Sticker - Hexagon I,C?n ti?ng Anh nghi v?n: Hexagon; I; Phoebe; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Hexagon II,Phoebe Sticker - Hexagon II,C?n ti?ng Anh nghi v?n: Hexagon; II; Phoebe; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Phoebe Sticker - Hexagon III,Phoebe Sticker - Hexagon III,C?n ti?ng Anh nghi v?n: Hexagon; III; Phoebe; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Circle I,Lupa Sticker - Circle I,C?n ti?ng Anh nghi v?n: Circle; I; Lupa; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Circle II,Lupa Sticker - Circle II,C?n ti?ng Anh nghi v?n: Circle; II; Lupa; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Circle III,Lupa Sticker - Circle III,C?n ti?ng Anh nghi v?n: Circle; III; Lupa; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Rhombus I,Lupa Sticker - Rhombus I,C?n ti?ng Anh nghi v?n: I; Lupa; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Rhombus II,Lupa Sticker - Rhombus II,C?n ti?ng Anh nghi v?n: II; Lupa; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Rhombus III,Lupa Sticker - Rhombus III,C?n ti?ng Anh nghi v?n: III; Lupa; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Hexagon I,Lupa Sticker - Hexagon I,C?n ti?ng Anh nghi v?n: Hexagon; I; Lupa; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Hexagon II,Lupa Sticker - Hexagon II,C?n ti?ng Anh nghi v?n: Hexagon; II; Lupa; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lupa Sticker - Hexagon III,Lupa Sticker - Hexagon III,C?n ti?ng Anh nghi v?n: Hexagon; III; Lupa; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Circle I,Jinhsi Sticker - Circle I,C?n ti?ng Anh nghi v?n: Circle; I; Jinhsi; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Circle II,Jinhsi Sticker - Circle II,C?n ti?ng Anh nghi v?n: Circle; II; Jinhsi; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Circle III,Jinhsi Sticker - Circle III,C?n ti?ng Anh nghi v?n: Circle; III; Jinhsi; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Rhombus I,Jinhsi Sticker - Rhombus I,C?n ti?ng Anh nghi v?n: I; Jinhsi; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Rhombus II,Jinhsi Sticker - Rhombus II,C?n ti?ng Anh nghi v?n: II; Jinhsi; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Rhombus III,Jinhsi Sticker - Rhombus III,C?n ti?ng Anh nghi v?n: III; Jinhsi; Rhombus; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Hexagon I,Jinhsi Sticker - Hexagon I,C?n ti?ng Anh nghi v?n: Hexagon; I; Jinhsi; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Hexagon II,Jinhsi Sticker - Hexagon II,C?n ti?ng Anh nghi v?n: Hexagon; II; Jinhsi; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jinhsi Sticker - Hexagon III,Jinhsi Sticker - Hexagon III,C?n ti?ng Anh nghi v?n: Hexagon; III; Jinhsi; Sticker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Zani Sticker - Circle I,Zani Sticker - Circle I,C?n ti?ng Anh nghi v?n: Circle; I; Sticker; Zani | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Zani Sticker - Circle II,Zani Sticker - Circle II,C?n ti?ng Anh nghi v?n: Circle; II; Sticker; Zani | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Zani Sticker - Circle III,Zani Sticker - Circle III,C?n ti?ng Anh nghi v?n: Circle; III; Sticker; Zani | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Zani Sticker - Rhombus I,Zani Sticker - Rhombus I,C?n ti?ng Anh nghi v?n: I; Rhombus; Sticker; Zani | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Zani Sticker - Rhombus II,Zani Sticker - Rhombus II,C?n ti?ng Anh nghi v?n: II; Rhombus; Sticker; Zani | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Zani Sticker - Rhombus II,Zani Sticker - Rhombus II,C?n ti?ng Anh nghi v?n: II; Rhombus; Sticker; Zani | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
