en_source,vn_translate,loi_du_doan
Fallacy of No Return,Fallacy of Không Return,C?n ti?ng Anh nghi v?n: Fallacy; of; Return | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""Dreaming Deep"" Event","""Dreaming Deep"" Event",C?n ti?ng Anh nghi v?n: Deep; Dreaming; Event | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Irises Bloom,When Irises Bloom,C?n ti?ng Anh nghi v?n: Bloom; Irises; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Basic Sealed Tube,Basic Sealed Tube,C?n ti?ng Anh nghi v?n: Basic; Sealed; Tube | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Music Record,Old Music Record,C?n ti?ng Anh nghi v?n: Music; Old; Record | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""Munchie-More"" Bun","""Munchie-More"" Bun",C?n ti?ng Anh nghi v?n: Bun; More; Munchie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Poetry and Paean Weapon Chest,Rương Vũ Khí Poetry and Paean,C?n ti?ng Anh nghi v?n: and; Paean; Poetry | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Energy Core,Medium Energy Core,C?n ti?ng Anh nghi v?n: Core; Energy; Medium | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Energy Core,Advanced Energy Core,C?n ti?ng Anh nghi v?n: Advanced; Core; Energy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Energy Core,Premium Energy Core,C?n ti?ng Anh nghi v?n: Core; Energy; Premium | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Forgery Basic Supply,Forgery Basic Supply,C?n ti?ng Anh nghi v?n: Basic; Forgery; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Basic Enclosure Tank,Basic Enclosure Tank,C?n ti?ng Anh nghi v?n: Basic; Enclosure; Tank | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Basic Experience Package,Basic Experience Package,C?n ti?ng Anh nghi v?n: Basic; Experience; Package | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Worn-out Box,Worn-out Box,C?n ti?ng Anh nghi v?n: Box; out; Worn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Complete Series,A Complete Series,C?n ti?ng Anh nghi v?n: A; Complete; Series | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Complete Series,A Complete Series,C?n ti?ng Anh nghi v?n: A; Complete; Series | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Wooden Plaque: Left,Wooden Plaque: Left,C?n ti?ng Anh nghi v?n: Left; Plaque; Wooden | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Wooden Plaque: Right,Wooden Plaque: Right,C?n ti?ng Anh nghi v?n: Plaque; Right; Wooden | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Footnote: IX,Time Footnote: IX,C?n ti?ng Anh nghi v?n: Footnote; IX; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Footnote: X,Time Footnote: X,C?n ti?ng Anh nghi v?n: Footnote; Time; X | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Footnote: XI,Time Footnote: XI,C?n ti?ng Anh nghi v?n: Footnote; Time; XI | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Footnote: XII,Time Footnote: XII,C?n ti?ng Anh nghi v?n: Footnote; Time; XII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Footnote: XIII,Time Footnote: XIII,C?n ti?ng Anh nghi v?n: Footnote; Time; XIII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Food Ration Bar,Food Ration Bar,C?n ti?ng Anh nghi v?n: Bar; Food; Ration | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Warrior's Liberation I,Warrior's Liberation I,C?n ti?ng Anh nghi v?n: I; Liberation; Warrior's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Hot Night Inspiration,Hot Night Inspiration,C?n ti?ng Anh nghi v?n: Hot; Inspiration; Night | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Life Will Change,Life Will Change,C?n ti?ng Anh nghi v?n: Change; Life; Will | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Spring Arrives,When Spring Arrives,C?n ti?ng Anh nghi v?n: Arrives; Spring; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Afternoon Tea Time,Afternoon Tea Time,C?n ti?ng Anh nghi v?n: Afternoon; Tea; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Basic Revival Inhaler,Basic Revival Inhaler,C?n ti?ng Anh nghi v?n: Basic; Inhaler; Revival | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Basic Nutrient Block,Basic Nutrient Block,C?n ti?ng Anh nghi v?n: Basic; Block; Nutrient | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Energy Bag,Medium Energy Bag,C?n ti?ng Anh nghi v?n: Bag; Energy; Medium | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Energy Bag,Advanced Energy Bag,C?n ti?ng Anh nghi v?n: Advanced; Bag; Energy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Energy Bag,Premium Energy Bag,C?n ti?ng Anh nghi v?n: Bag; Energy; Premium | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Before I Wither,Before I Wither,C?n ti?ng Anh nghi v?n: Before; I; Wither | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Where Wind Whispers,Where Wind Whispers,C?n ti?ng Anh nghi v?n: Where; Whispers; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Never-ending Night,Never-ending Night,C?n ti?ng Anh nghi v?n: ending; Never; Night | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pequod Blueprint: Basic,Pequod Blueprint: Basic,C?n ti?ng Anh nghi v?n: Basic; Blueprint; Pequod | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Warrior's Liberation II,Warrior's Liberation II,C?n ti?ng Anh nghi v?n: II; Liberation; Warrior's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Warrior's Liberation III,Warrior's Liberation III,C?n ti?ng Anh nghi v?n: III; Liberation; Warrior's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Warrior's Liberation IV,Warrior's Liberation IV,C?n ti?ng Anh nghi v?n: IV; Liberation; Warrior's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Free Fire Mode Ⅴ,Free Fire Mode Ⅴ,C?n ti?ng Anh nghi v?n: Fire; Free; Mode | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Warrior's Liberation V,Warrior's Liberation V,C?n ti?ng Anh nghi v?n: Liberation; V; Warrior's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Free Fire Mode Ⅵ,Free Fire Mode Ⅵ,C?n ti?ng Anh nghi v?n: Fire; Free; Mode | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Anchor Stone,Old Anchor Stone,C?n ti?ng Anh nghi v?n: Anchor; Old; Stone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""Phantasma Dreamland"" Event","""Phantasma Dreamland"" Event",C?n ti?ng Anh nghi v?n: Dreamland; Event; Phantasma | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Home Reserve I,Home Reserve I,C?n ti?ng Anh nghi v?n: Home; I; Reserve | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Home Reserve II,Home Reserve II,C?n ti?ng Anh nghi v?n: Home; II; Reserve | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
All-In Mode I,Tất cả-In Mode I,C?n ti?ng Anh nghi v?n: I; In; Mode | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
All-In Mode II,Tất cả-In Mode II,C?n ti?ng Anh nghi v?n: II; In; Mode | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Trick I,Time Trick I,C?n ti?ng Anh nghi v?n: I; Time; Trick | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Trick II,Time Trick II,C?n ti?ng Anh nghi v?n: II; Time; Trick | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Structural Damage I,Structural Damage I,C?n ti?ng Anh nghi v?n: Damage; I; Structural | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Structural Damage II,Structural Damage II,C?n ti?ng Anh nghi v?n: Damage; II; Structural | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Farewell to Yesterday,Farewell to Yesterday,C?n ti?ng Anh nghi v?n: Farewell; to; Yesterday | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Farewell to Yesterday,Farewell to Yesterday,C?n ti?ng Anh nghi v?n: Farewell; to; Yesterday | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Farewell to Yesterday,Farewell to Yesterday,C?n ti?ng Anh nghi v?n: Farewell; to; Yesterday | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Warmed Up Abby,Warmed Up Abby,C?n ti?ng Anh nghi v?n: Abby; Up; Warmed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
That Child's Talisman,That Child's Talisman,C?n ti?ng Anh nghi v?n: Child's; Talisman; That | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Into Falling Snow,Into Falling Snow,C?n ti?ng Anh nghi v?n: Falling; Into; Snow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Into Falling Snow,Into Falling Snow,C?n ti?ng Anh nghi v?n: Falling; Into; Snow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Comforting Night,A Comforting Night,C?n ti?ng Anh nghi v?n: A; Comforting; Night | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mid-air Attack 1,Mid-air Attack 1,C?n ti?ng Anh nghi v?n: air; Attack; Mid | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mid-air Attack 2,Mid-air Attack 2,C?n ti?ng Anh nghi v?n: air; Attack; Mid | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mid-air Attack 3,Mid-air Attack 3,C?n ti?ng Anh nghi v?n: air; Attack; Mid | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Environment assessment module,Environment assessment module,C?n ti?ng Anh nghi v?n: assessment; Environment; module | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Gun of night,Gun of night,C?n ti?ng Anh nghi v?n: Gun; night; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Gauntlet of night,Gauntlet of night,C?n ti?ng Anh nghi v?n: Gauntlet; night; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Matrix of night,Matrix of night,C?n ti?ng Anh nghi v?n: Matrix; night; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rocks into pieces,Rocks into pieces,C?n ti?ng Anh nghi v?n: into; pieces; Rocks | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rocks into pieces,Rocks into pieces,C?n ti?ng Anh nghi v?n: into; pieces; Rocks | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rocks into pieces,Rocks into pieces,C?n ti?ng Anh nghi v?n: into; pieces; Rocks | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rocks into pieces,Rocks into pieces,C?n ti?ng Anh nghi v?n: into; pieces; Rocks | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rocks into pieces,Rocks into pieces,C?n ti?ng Anh nghi v?n: into; pieces; Rocks | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take their town,Take their town,C?n ti?ng Anh nghi v?n: Take; their; town | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take their town,Take their town,C?n ti?ng Anh nghi v?n: Take; their; town | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take their town,Take their town,C?n ti?ng Anh nghi v?n: Take; their; town | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take their town,Take their town,C?n ti?ng Anh nghi v?n: Take; their; town | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take their town,Take their town,C?n ti?ng Anh nghi v?n: Take; their; town | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ready for battle,Ready for battle,C?n ti?ng Anh nghi v?n: battle; for; Ready | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Quest Item,Quest Item,C?n ti?ng Anh nghi v?n: Item; Quest | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Story item,Story item,C?n ti?ng Anh nghi v?n: item; Story | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge: {BOSS击杀}/{击杀目标数},Complete Challenge: {BOSS击杀}/{击杀目标数},C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Close Friend,Close Friend,C?n ti?ng Anh nghi v?n: Close; Friend | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Challenge,Complete Challenge,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete challenge,Complete challenge,C?n ti?ng Anh nghi v?n: challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Leave Challenge,Leave Challenge,C?n ti?ng Anh nghi v?n: Challenge; Leave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Test Complete,Test Complete,C?n ti?ng Anh nghi v?n: Complete; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Test Task,Test Task,C?n ti?ng Anh nghi v?n: Task; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Go you,Go you,C?n ti?ng Anh nghi v?n: Go; you | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Good night,Good night,C?n ti?ng Anh nghi v?n: Good; night | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Night Challenge: Fleeing Fish,Challenge Night: Cá Chạy Trốn,C?n ti?ng Anh nghi v?n: Challenge; Night | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Challenge: End of Hunt,Challenge: End Săn Đuổi,C?n ti?ng Anh nghi v?n: Challenge; End | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Food Please,Food Please,C?n ti?ng Anh nghi v?n: Food; Please | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Night Challenge: Soft and Softer,Challenge Night: Mềm Mại Hơn Nữa,C?n ti?ng Anh nghi v?n: Challenge; Night | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Night Challenge: Nothing Ventured,"Challenge Night: Không Mạo Hiểm, Không Thành Công",C?n ti?ng Anh nghi v?n: Challenge; Night | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Night Challenge: Deceleration Trap,Challenge Night: Bẫy Giảm Tốc,C?n ti?ng Anh nghi v?n: Challenge; Night | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Night Challenge: The Sea God's Reins,Challenge Night: Cương Duyên Thủy Thần,C?n ti?ng Anh nghi v?n: Challenge; Night | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Normal Attack,Normal Attack,C?n ti?ng Anh nghi v?n: Attack; Normal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Weapon Shop,Weapon Shop,C?n ti?ng Anh nghi v?n: Shop; Weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Weapon Shop,Weapon Shop,C?n ti?ng Anh nghi v?n: Shop; Weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Outro Skill,Outro Skill,C?n ti?ng Anh nghi v?n: Outro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Normal Attack,Normal Attack,C?n ti?ng Anh nghi v?n: Attack; Normal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Normal Attack,Normal Attack,C?n ti?ng Anh nghi v?n: Attack; Normal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Normal Attack,Normal Attack,C?n ti?ng Anh nghi v?n: Attack; Normal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Area Effect,Area Effect,C?n ti?ng Anh nghi v?n: Area; Effect | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Adjust Map View,Điều chỉnh Map View,C?n ti?ng Anh nghi v?n: Map; View | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Bonus Challenge,Bonus Challenge,C?n ti?ng Anh nghi v?n: Bonus; Challenge | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Save Complete,Save Complete,C?n ti?ng Anh nghi v?n: Complete; Save | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Map,New Map,C?n ti?ng Anh nghi v?n: Map; New | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Area,New Area,C?n ti?ng Anh nghi v?n: Area; New | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Reward Event,Reward Event,C?n ti?ng Anh nghi v?n: Event; Reward | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Or maybe…,Or maybe…,C?n ti?ng Anh nghi v?n: maybe; Or | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
About Mail System,About Mail Hệ thống,C?n ti?ng Anh nghi v?n: About; Mail | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Area Effect,Area Effect,C?n ti?ng Anh nghi v?n: Area; Effect | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mode Setting,Mode Setting,C?n ti?ng Anh nghi v?n: Mode; Setting | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
