en_source,vn_translate,loi_du_doan
Immobilize Pilgrim's Shell: {挑战2统计}/1,Immobilize Pilgrim's Shell: {挑战2统计}/1,C?n ti?ng Anh nghi v?n: Immobilize; Pilgrim's; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter III Act IV,Chương III Act IV,C?n ti?ng Anh nghi v?n: Act; III; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter III Act V,Chương III Act V,C?n ti?ng Anh nghi v?n: Act; III; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Top Drive Track,Top Drive Track,C?n ti?ng Anh nghi v?n: Drive; Top; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
air-heat ensemble,air-heat ensemble,C?n ti?ng Anh nghi v?n: air; ensemble; heat | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
No Supply Chest found,Không Supply Chest found,C?n ti?ng Anh nghi v?n: Chest; found; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Exploration Rewards Locked,Exploration Rewards Locked,C?n ti?ng Anh nghi v?n: Exploration; Locked; Rewards | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Legend: Leviathan Loyalist,Legend: Leviathan Loyalist,C?n ti?ng Anh nghi v?n: Legend; Leviathan; Loyalist | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Legend: Mackerel Gear,Legend: Mackerel Gear,C?n ti?ng Anh nghi v?n: Gear; Legend; Mackerel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Legend: Pink Relic,Legend: Pink Relic,C?n ti?ng Anh nghi v?n: Legend; Pink; Relic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special: Offshore Operation,Special: Offshore Operation,C?n ti?ng Anh nghi v?n: Offshore; Operation; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special: Silver Flash,Special: Silver Flash,C?n ti?ng Anh nghi v?n: Flash; Silver; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special: Open Sea Operation,Special: Mở Sea Operation,C?n ti?ng Anh nghi v?n: Operation; Sea; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special: Dazzle Razzle,Special: Dazzle Razzle,C?n ti?ng Anh nghi v?n: Dazzle; Razzle; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special: Tempera Watercolors,Special: Tempera Watercolors,C?n ti?ng Anh nghi v?n: Special; Tempera; Watercolors | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special: Skilled Hunter,Special: Skilled Hunter,C?n ti?ng Anh nghi v?n: Hunter; Skilled; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cute Ocean Dwellers,Cute Ocean Dwellers,C?n ti?ng Anh nghi v?n: Cute; Dwellers; Ocean | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sound of Trombone,Sound of Trombone,C?n ti?ng Anh nghi v?n: of; Sound; Trombone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sea of Feathers,Sea of Feathers,C?n ti?ng Anh nghi v?n: Feathers; of; Sea | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Coconut Urchin,Catch Coconut Urchin,C?n ti?ng Anh nghi v?n: Catch; Coconut; Urchin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Octopus Clam,Catch Octopus Clam,C?n ti?ng Anh nghi v?n: Catch; Clam; Octopus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Leafy Seadragon,Catch Leafy Seadragon,C?n ti?ng Anh nghi v?n: Catch; Leafy; Seadragon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Yarn Eel,Catch Yarn Eel,C?n ti?ng Anh nghi v?n: Catch; Eel; Yarn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Dumbo Octopus,Catch Dumbo Octopus,C?n ti?ng Anh nghi v?n: Catch; Dumbo; Octopus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Giant Gulper,Catch Giant Gulper,C?n ti?ng Anh nghi v?n: Catch; Giant; Gulper | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Sob Blob,Catch Sob Blob,C?n ti?ng Anh nghi v?n: Blob; Catch; Sob | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Feather Star,Catch Feather Star,C?n ti?ng Anh nghi v?n: Catch; Feather; Star | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Stygian Phantom,Catch Stygian Phantom,C?n ti?ng Anh nghi v?n: Catch; Phantom; Stygian | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Seabed Snow,Catch Seabed Snow,C?n ti?ng Anh nghi v?n: Catch; Seabed; Snow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Trapper Anglerfish,Catch Trapper Anglerfish,C?n ti?ng Anh nghi v?n: Anglerfish; Catch; Trapper | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Titanium Mackerel,Catch Titanium Mackerel,C?n ti?ng Anh nghi v?n: Catch; Mackerel; Titanium | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Bubble Snail,Catch Bubble Snail,C?n ti?ng Anh nghi v?n: Bubble; Catch; Snail | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Legilimens Shrimp,Catch Legilimens Shrimp,C?n ti?ng Anh nghi v?n: Catch; Legilimens; Shrimp | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Tripod Fish,Catch Tripod Fish,C?n ti?ng Anh nghi v?n: Catch; Fish; Tripod | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Trombone Ammonoid,Catch Trombone Ammonoid,C?n ti?ng Anh nghi v?n: Ammonoid; Catch; Trombone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Pink Hallowfin,Catch Pink Hallowfin,C?n ti?ng Anh nghi v?n: Catch; Hallowfin; Pink | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Pelagic Wyrm,Catch Pelagic Wyrm,C?n ti?ng Anh nghi v?n: Catch; Pelagic; Wyrm | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Overlord Squid,Catch Overlord Squid,C?n ti?ng Anh nghi v?n: Catch; Overlord; Squid | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Bogie Shrimp,Catch Bogie Shrimp,C?n ti?ng Anh nghi v?n: Bogie; Catch; Shrimp | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Airsailer Mutant,Catch Airsailer Mutant,C?n ti?ng Anh nghi v?n: Airsailer; Catch; Mutant | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Salp Mutant,Catch Salp Mutant,C?n ti?ng Anh nghi v?n: Catch; Mutant; Salp | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Pricklecrab Mutant,Catch Pricklecrab Mutant,C?n ti?ng Anh nghi v?n: Catch; Mutant; Pricklecrab | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Clione Mutant,Catch Clione Mutant,C?n ti?ng Anh nghi v?n: Catch; Clione; Mutant | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Sunfish Mutant,Catch Sunfish Mutant,C?n ti?ng Anh nghi v?n: Catch; Mutant; Sunfish | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Lancetfish Mutant,Catch Lancetfish Mutant,C?n ti?ng Anh nghi v?n: Catch; Lancetfish; Mutant | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Path of Growth,Path of Growth,C?n ti?ng Anh nghi v?n: Growth; of; Path | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sonoro Sphere: Weapons,Sonoro Sphere: Weapons,C?n ti?ng Anh nghi v?n: Sonoro; Sphere; Weapons | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
