en_source,vn_translate,loi_du_doan
A Whispering Melody,A Whispering Melody,C?n ti?ng Anh nghi v?n: A; Melody; Whispering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Insufficient ""Sweet Puffs""","Insufficient ""Sweet Puffs""",C?n ti?ng Anh nghi v?n: Insufficient; Puffs; Sweet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Illusive Points Obtained,Illusive Points Obtained,C?n ti?ng Anh nghi v?n: Illusive; Obtained; Points | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: IV,Supply Chest: IV,C?n ti?ng Anh nghi v?n: Chest; IV; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lost Dance Shoes,Lost Dance Shoes,C?n ti?ng Anh nghi v?n: Dance; Lost; Shoes | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Door-smashing Axe,Door-smashing Axe,C?n ti?ng Anh nghi v?n: Axe; Door; smashing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Inferno Rider: Ultra,Inferno Rider: Ultra,C?n ti?ng Anh nghi v?n: Inferno; Rider; Ultra | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Meteor Fire I,Meteor Fire I,C?n ti?ng Anh nghi v?n: Fire; I; Meteor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Meteor Fire II,Meteor Fire II,C?n ti?ng Anh nghi v?n: Fire; II; Meteor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Meteor Fire III,Meteor Fire III,C?n ti?ng Anh nghi v?n: Fire; III; Meteor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Thorny Blade I,Thorny Blade I,C?n ti?ng Anh nghi v?n: Blade; I; Thorny | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Thorny Blade II,Thorny Blade II,C?n ti?ng Anh nghi v?n: Blade; II; Thorny | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Thorny Blade III,Thorny Blade III,C?n ti?ng Anh nghi v?n: Blade; III; Thorny | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Parting Gift I,Parting Gift I,C?n ti?ng Anh nghi v?n: Gift; I; Parting | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Parting Gift II,Parting Gift II,C?n ti?ng Anh nghi v?n: Gift; II; Parting | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lethal Core I,Lethal Core I,C?n ti?ng Anh nghi v?n: Core; I; Lethal | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lethal Core II,Lethal Core II,C?n ti?ng Anh nghi v?n: Core; II; Lethal | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tempest Mephis: Ultra,Tempest Mephis: Ultra,C?n ti?ng Anh nghi v?n: Mephis; Tempest; Ultra | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special Tactics I,Special Tactics I,C?n ti?ng Anh nghi v?n: I; Special; Tactics | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special Tactics II,Special Tactics II,C?n ti?ng Anh nghi v?n: II; Special; Tactics | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special Tactics III,Special Tactics III,C?n ti?ng Anh nghi v?n: III; Special; Tactics | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shattered Dreams I,Shattered Dreams I,C?n ti?ng Anh nghi v?n: Dreams; I; Shattered | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shattered Dreams II,Shattered Dreams II,C?n ti?ng Anh nghi v?n: Dreams; II; Shattered | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shattered Dreams III,Shattered Dreams III,C?n ti?ng Anh nghi v?n: Dreams; III; Shattered | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Joint Tactics I,Joint Tactics I,C?n ti?ng Anh nghi v?n: I; Joint; Tactics | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Joint Tactics II,Joint Tactics II,C?n ti?ng Anh nghi v?n: II; Joint; Tactics | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Joint Tactics III,Joint Tactics III,C?n ti?ng Anh nghi v?n: III; Joint; Tactics | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sentry Construct: Ultra,Sentry Construct: Ultra,C?n ti?ng Anh nghi v?n: Construct; Sentry; Ultra | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chrysalis Swarm I,Chrysalis Swarm I,C?n ti?ng Anh nghi v?n: Chrysalis; I; Swarm | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chrysalis Swarm II,Chrysalis Swarm II,C?n ti?ng Anh nghi v?n: Chrysalis; II; Swarm | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Healing Prevention I,Healing Prevention I,C?n ti?ng Anh nghi v?n: Healing; I; Prevention | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Healing Prevention I,Healing Prevention I,C?n ti?ng Anh nghi v?n: Healing; I; Prevention | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Pre-emptive Strike,Pre-emptive Strike,C?n ti?ng Anh nghi v?n: emptive; Pre; Strike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Daily Crisis Management,Daily Crisis Management,C?n ti?ng Anh nghi v?n: Crisis; Daily; Management | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Pre-emptive Strike,Pre-emptive Strike,C?n ti?ng Anh nghi v?n: emptive; Pre; Strike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Avinoleum Code I,Avinoleum Code I,C?n ti?ng Anh nghi v?n: Avinoleum; Code; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Seminary Code II,Seminary Code II,C?n ti?ng Anh nghi v?n: Code; II; Seminary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Quiet Underworld,A Quiet Underworld,C?n ti?ng Anh nghi v?n: A; Quiet; Underworld | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
I See Fire,I See Fire,C?n ti?ng Anh nghi v?n: Fire; I; See | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Kim Ye Rim,Kim Ye Rim,C?n ti?ng Anh nghi v?n: Kim; Rim; Ye | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Night's Solitary Path,Night's Solitary Path,C?n ti?ng Anh nghi v?n: Night's; Path; Solitary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Shared Fate,A Shared Fate,C?n ti?ng Anh nghi v?n: A; Fate; Shared | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lark Among Clouds,Lark Among Clouds,C?n ti?ng Anh nghi v?n: Among; Clouds; Lark | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ink Dyed Nature,Ink Dyed Nature,C?n ti?ng Anh nghi v?n: Dyed; Ink; Nature | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dancing Through Fantasies,Dancing Through Fantasies,C?n ti?ng Anh nghi v?n: Dancing; Fantasies; Through | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Token of Radiance,Token of Radiance,C?n ti?ng Anh nghi v?n: of; Radiance; Token | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ready Cube One,Ready Cube One,C?n ti?ng Anh nghi v?n: Cube; One; Ready | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Somnoire Film Critic,Somnoire Film Critic,C?n ti?ng Anh nghi v?n: Critic; Film; Somnoire | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Later Storyline Resources,Later Storyline Resources,C?n ti?ng Anh nghi v?n: Later; Resources; Storyline | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Later Storyline Resources,Later Storyline Resources,C?n ti?ng Anh nghi v?n: Later; Resources; Storyline | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Cube, Cubic n Cubie","Cube, Cubic và Cubie",C?n ti?ng Anh nghi v?n: Cube; Cubic; Cubie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cyan-Feathered Heron,Cyan-Feathered Heron,C?n ti?ng Anh nghi v?n: Cyan; Feathered; Heron | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Baby Viridblaze Saurian,Baby Viridblaze Saurian,C?n ti?ng Anh nghi v?n: Baby; Saurian; Viridblaze | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Violet-Feathered Heron,Violet-Feathered Heron,C?n ti?ng Anh nghi v?n: Feathered; Heron; Violet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Peaks of Prestige,Peaks of Prestige,C?n ti?ng Anh nghi v?n: of; Peaks; Prestige | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Care-Refusing Patient,Care-Refusing Patient,C?n ti?ng Anh nghi v?n: Care; Patient; Refusing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mysterious Challenger - Brant,Mysterious Challenger - Brant,C?n ti?ng Anh nghi v?n: Brant; Challenger; Mysterious | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mysterious Challenger - Ciaccona,Mysterious Challenger - Ciaccona,C?n ti?ng Anh nghi v?n: Challenger; Ciaccona; Mysterious | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mysterious Challenger - Lupa,Mysterious Challenger - Lupa,C?n ti?ng Anh nghi v?n: Challenger; Lupa; Mysterious | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mysterious Challenger - Calcharo,Mysterious Challenger - Calcharo,C?n ti?ng Anh nghi v?n: Calcharo; Challenger; Mysterious | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Slow-Burn Satisfaction,Slow-Burn Satisfaction,C?n ti?ng Anh nghi v?n: Burn; Satisfaction; Slow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
I'm On Fire,I'm On Fire,C?n ti?ng Anh nghi v?n: Fire; I'm; On | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ground Game Expert,Ground Game Expert,C?n ti?ng Anh nghi v?n: Expert; Game; Ground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Repetition Side Steps,Repetition Side Steps,C?n ti?ng Anh nghi v?n: Repetition; Side; Steps | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bae Ha Gyoung,Bae Ha Gyoung,C?n ti?ng Anh nghi v?n: Bae; Gyoung; Ha | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Amanda Elizabeth Rischel,Amanda Elizabeth Rischel,C?n ti?ng Anh nghi v?n: Amanda; Elizabeth; Rischel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Yet Within Solitude,Yet Within Solitude,C?n ti?ng Anh nghi v?n: Solitude; Within; Yet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: IV,Supply Chest: IV,C?n ti?ng Anh nghi v?n: Chest; IV; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: V,Supply Chest: V,C?n ti?ng Anh nghi v?n: Chest; Supply; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Kim Ye Reong,Kim Ye Reong,C?n ti?ng Anh nghi v?n: Kim; Reong; Ye | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Big Little Things,Big Little Things,C?n ti?ng Anh nghi v?n: Big; Little; Things | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Primary Build I,Primary Build I,C?n ti?ng Anh nghi v?n: Build; I; Primary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Primary Build II,Primary Build II,C?n ti?ng Anh nghi v?n: Build; II; Primary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Flash Strike I,Flash Strike I,C?n ti?ng Anh nghi v?n: Flash; I; Strike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Flash Strike II,Flash Strike II,C?n ti?ng Anh nghi v?n: Flash; II; Strike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Flash Strike III,Flash Strike III,C?n ti?ng Anh nghi v?n: Flash; III; Strike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Preset: Flash Strike,Preset: Flash Strike,C?n ti?ng Anh nghi v?n: Flash; Preset; Strike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Wolf's Companion,A Wolf's Companion,C?n ti?ng Anh nghi v?n: A; Companion; Wolf's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dream: Infinite I,Dream: Infinite I,C?n ti?ng Anh nghi v?n: Dream; I; Infinite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dream: Infinite II,Dream: Infinite II,C?n ti?ng Anh nghi v?n: Dream; II; Infinite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dream: Infinite III,Dream: Infinite III,C?n ti?ng Anh nghi v?n: Dream; III; Infinite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dragon of Dirge,Dragon of Dirge,C?n ti?ng Anh nghi v?n: Dirge; Dragon; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
