en_source,vn_translate,loi_du_doan
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Left,Left,C?n ti?ng Anh nghi v?n: Left | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Obtain,Obtain,C?n ti?ng Anh nghi v?n: Obtain | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Down,Down,C?n ti?ng Anh nghi v?n: Down | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Obtain,Obtain,C?n ti?ng Anh nghi v?n: Obtain | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Up,Up,C?n ti?ng Anh nghi v?n: Up | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Guide,Guide,C?n ti?ng Anh nghi v?n: Guide | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello,Hello,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Switch,Switch,C?n ti?ng Anh nghi v?n: Switch | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Down,Down,C?n ti?ng Anh nghi v?n: Down | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/Gate,test/Cổng,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Will,Will,C?n ti?ng Anh nghi v?n: Will | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Release,Release,C?n ti?ng Anh nghi v?n: Release | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Release,Release,C?n ti?ng Anh nghi v?n: Release | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hold Exit to exit the steering mode,Giữ Exit để thoát chế độ điều khiển,C?n ti?ng Anh nghi v?n: Exit | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Skill,Skill,C?n ti?ng Anh nghi v?n: Skill | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
